section,exercise_number,exercise_text,a,b,c,d,e,f,author,graphic,answer,solution
"3. ELECTRICITATE ŞI MAGNETISM","3.1","Două generatoare de tensiune electromotoare de $7 \mathrm{~V}$ și de rezistență interioară de $0,2 \Omega$ sunt legate în serie la bornele unui rezistor de rezistență de $6,6 \Omega$. Căldura disipată de rezistența de $6,6 \Omega$ în timp de un minut este:\\","$1584 \mathrm{~J}$","$1600 \mathrm{~J}$","$1580 \mathrm{~J}$","$1800 \mathrm{~J}$","$2050 \mathrm{~J}$","$3000 \mathrm{~J}$","Ion M. Popescu","N/A","A","$E=E_{1}+E_{2}=7+7=14 \mathrm{~V} ; R_{e}=r_{1}+r_{1}+R=7 \Omega$;\\ $I=\frac{E}{R_{e}}=2 \mathrm{~A} ; E=R I^{2} t=1584 \mathrm{~J}$.\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.2","Un conductor de cupru ( $\rho_{\mathrm{Cu}}=1,7 \cdot 10^{-8} \Omega \mathrm{~m}$ ) lung de $160 \mathrm{~m}$ şi cu secțiunea de $16 \mathrm{~mm}^{2}$ este conectat la tensiunea de $170 \mathrm{~V}$. De-a lungul conductorului producându-se o cădere de tensiune de $6 \%$, prin conductor trece un curent electric de intensitate:\\","$55 \mathrm{~A}$","$65 \mathrm{~A}$","$40 \mathrm{~A}$","$100 \mathrm{~A}$","$60 \mathrm{~A}$","$75 \mathrm{~A}$","Ion M. Popescu","N/A","E","Rezistența conductorului este egală cu:\\ $R=\rho \frac{l}{S}=0,17 \Omega$, iar intensitatea curentului este $I=\frac{U_{c}}{R}=60 \mathrm{~A}$.\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.3","În rețeaua din Fig. 3.1 se dau: $E=5,5 \mathrm{~V}, \quad R_{1}=1 \Omega, \quad R_{2}=2 \Omega, \quad R_{3}=3 \Omega$. Schimbând locul sursei $E$ cu cel al ampermetrului A , acesta indică:\\","$1 \mathrm{~A}$","$0,8 \mathrm{~A}$","$5 \mathrm{~A}$","$0,5 \mathrm{~A}$","$0,8 \mathrm{~A}$","$2 \mathrm{~A}$","Ion M. Popescu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-144","A","Noul circuit este reprezentat în figura problemei Din legile lui Kirchhoff:\\ $\left.\begin{array}{l} I_{3}=I_{1}+I_{2} \\ R_{1} I_{1}=R_{2} I_{2} \\ E=R_{3} I_{3}+R_{2} I_{2} \end{array}\right\} \Rightarrow I_{1}=\frac{R_{2} E}{R_{1} R_{2}+R_{1} R_{3}+R_{2} R_{3}}=1 \mathrm{~A}$\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-341(1)}\\ Figura problemei \end{center}\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.4","Dacă două generatoare electrice cu tensiunea electromotoare de $8 \mathrm{~V}$ şi rezistența interioară de $0,2 \Omega$ sunt legate în serie la bornele unui rezistor cu rezistența de $7,6 \Omega$, prin fiecare generator electric trece curentul electric de intensitate:\\","$1,5 \mathrm{~A}$","$2 \mathrm{~A}$","$1,8 \mathrm{~A}$","$2,5 \mathrm{~A}$","$3 \mathrm{~A}$","$0,5 \mathrm{~A}$","Ion M. Popescu","N/A","B","Din legea lui Ohm (Figura problemei): $I=\frac{2 E}{R+2 r}=2 \mathrm{~A}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-341(2)}\\ Figura problemei \end{center}\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.5","Dacă două generatoare electrice cu tensiunea electromotoare de $10 \mathrm{~V}$ și rezistența interioară de $0,2 \Omega$ sunt legate în paralel la bornele unui rezistor cu rezistența de $9,9 \Omega$, prin fiecare generator electric trece curentul electric de intensitate:\\","$0,6 \mathrm{~A}$","$0,4 \mathrm{~A}$","$0,5 \mathrm{~A}$","$1 \mathrm{~A}$","$3 \mathrm{~A}$","$2 \mathrm{~A}$","Ion M. Popescu","N/A","C","Din legile lui Kirchhoff (Figura problemei)\\ $\left.\begin{array}{l} I=I_{1}+I_{2} \\ E:=r I_{2}+R I \\ E=r I_{1}+R I \end{array}\right\} \Rightarrow I_{1}=I_{2}=\frac{E}{r+2 R}=0,5 \mathrm{~A}$\\ sau din legea lui Ohm,\\ $r_{e}=\frac{r}{2} ; I=\frac{E}{R+\frac{r}{2}}=1 \mathrm{~A}$\\ şi $\quad I_{1}=I_{2}=\frac{I}{2}=0,5 \mathrm{~A}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-341}\\ Figura problemei \end{center}\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.6","Un generator electric care produce într-o rezistență de $16 \Omega$ aceeași putere electrică ca într-o rezistență de $25 \Omega$, are rezistența interioară egală cu:\\","$16 \Omega$","$22 \Omega$","$10 \Omega$","$20 \Omega$","$5 \Omega$","$30 \Omega$","Ion M. Popescu","N/A","D","Din egalitatea puterilor $R_{1} \frac{E^{2}}{\left(r+R_{1}\right)^{2}}=R_{2} \frac{E^{2}}{\left(r+R_{2}\right)^{2}}$ rezultă:\\ $r=\sqrt{R_{1} R_{2}}=20 \Omega$\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.7","Un încălzitor are două rezistoare $R_{\mathrm{J}}$ şi $R_{2}$. Timpul de fierbere a unei mase de apă cu încălzitorul este $t_{1}=20 \mathrm{~s}$, dacă se conectează numai primul rezistor şi $t_{2}=30 \mathrm{~s}$, dacă se conectează numai al doilea rezistor. Dacă se conectează ambele rezistoare în paralel, timpul de fierbere a apei este:\\","$30 \mathrm{~s}$","$20 \mathrm{~s}$","$25 \mathrm{~s}$","$4 \mathrm{~s}$","$16 \mathrm{~s}$","$12 \mathrm{~s}$","Ion M. Popescu","N/A","F","La conectarea primului rezistor, $W=\frac{U^{2}}{R_{1}} t_{1}$, iar $t_{1}=\frac{W}{U^{2}} R_{1}$. La conectarea celui de-al doilea rezistor, $W=\frac{U^{2}}{R_{2}} t_{2}$, iar $t_{2}=\frac{W}{U^{2}} R_{2}$. Dacă se conectează ambele rezistoare în paralel, $W=\left(\frac{1}{R_{1}}+\frac{1}{R_{2}}\right) U^{2} t$, de unde:\\ $t=\frac{W}{U^{2}} \cdot \frac{R_{1} R_{2}}{R_{1}+R_{2}}=\frac{\frac{W}{U^{2}} R_{1} \cdot \frac{W}{U^{2}} R_{2}}{\frac{W}{U^{2}} R_{1}+\frac{W}{U^{2}} R_{2}}=\frac{t_{1} t_{2}}{t_{1}+t_{2}}=12 \mathrm{~s}$\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.8","Un bec şi un reostat sunt legate în serie şi formează un circuit electric, consumând împreună $200 \mathrm{~W}$. Tensiunea la bornele becului fiind $60 \mathrm{~V}$ şi rezistenţa reostatului $20 \Omega$, prin circuitul electric trece curentul electric de intensitate:\\","$12 \mathrm{~A}$","$5 \mathrm{~A}$","$1 \mathrm{~A}$","$3 \mathrm{~A}$","$2 \mathrm{~A}$","$2,5 \mathrm{~A}$","Ion M. Popescu","N/A","E","Din expresia puterii, $P=P_{b}+P_{r}=\frac{U^{2}}{R_{b}}+R_{r} I^{2}$ sau $P=\left(R_{b}+R_{r}\right) I^{2}$, de unde $R_{b}=\frac{P}{I^{2}}-R_{r}$, rezultă ecuația în $I: R_{r}^{2} I^{4}-\left(2 R_{r} P+U^{2}\right) I^{2}+P=0$. Astfel, $I^{2}=\frac{2 R_{r} P+U^{2} \pm U \sqrt{4 P R_{r}+U^{2}}}{2 R_{r}^{2}}=\left\{\begin{array}{l}4 \mathrm{~A}^{2} \\ 25 \mathrm{~A}^{2}\end{array}\right.$, de unde $I=\left\{\begin{array}{l}2 \mathrm{~A} \\ 5 \mathrm{~A}\end{array}\right.$.\\ Observăm că $P_{r}=R_{r} I^{2}=500 \mathrm{~W}$, valoare ce nu corespunde enunțului problemei. Deci, $I=5 \mathrm{~A}$ nu este o soluție, deoarece becul şi reostatul consumă împreună $200 \mathrm{~W}$.\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.9","Un corp cu suprafața de $50 \mathrm{~cm}^{2}$ este legat la catodul unei băi de nichelare prin care trece un curent electric cu intensitatea de $1,0 \mathrm{~A}$. Pe suprafaţa corpului se depune un strat de nichel ( $\rho_{\mathrm{Ni}}=8,8 \cdot 10^{3} \mathrm{~kg} / \mathrm{m}^{3}, k_{\mathrm{Ni}}=0,203 \mathrm{~mg} / \mathrm{C}$ ) gros de $0,1015 \mathrm{~mm}$ în timpul de:\\","$22 \mathrm{~s}$","$40 \mathrm{~s}$","$20 \mathrm{~s}$","$32 \mathrm{~s}$","$15 \mathrm{~s}$","$100 \mathrm{~s}$","Ion M. Popescu","N/A","A","Din legea electrolizei $m=K I t$, unde $m=\rho_{\mathrm{Ni}} S d$, astfel că $\rho_{\mathrm{Ni}} S d=K_{\mathrm{Ni}} I t$, iar $t=\frac{\rho_{\mathrm{Ni}} S d}{K_{\mathrm{Ni}} I}=22 \mathrm{~s}$.\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.10","Se consideră un circuit format dintr-un rezistor legat la o sursă cu tensiune electromotoare de $2 \mathrm{~V}$ şi rezistența interioară $r=1 \Omega$. Căderea de tensiune pe rezistența interioară a sursei, ştiind că puterea disipată pe rezistor este maximă, va fi:\\","$5 \mathrm{~V}$","$0,1 \mathrm{~V}$","$1 \mathrm{~V}$","$3 \mathrm{~V}$","$0,2 \mathrm{~V}$","$1,5 \mathrm{~V}$","Niculae Puşcaş","N/A","C","Din legea lui Ohm $I=\frac{E}{R+r}$ şi a lui Joule - Lenz rezultă $P=I^{2} R=\frac{E^{2} R}{(R+r)^{2}}=P(R)$. Condiția de maxim a puterii se scrie: $\frac{\mathrm{d} P(R)}{\mathrm{d} R}=0$, adică $E^{2} \frac{(R+r)^{2}-2(R+r) R}{(R+r)^{4}}=0$, de unde $R=r ; R=-r$ (nu are sens fizic).\\ Deci, $U=I r=\frac{E}{2 r} r=1 \mathrm{~V}$.\\"
