section,exercise_number,exercise_text,a,b,c,d,e,f,author,graphic,answer,solution
"1. MECANICĂ","1.1","Dacă o particulă de masă $m$ ce se mişcă cu viteza $v$ ciocneşte elastic o particulă de masă $2 m$ ce se află în repaus şi ricoşează de unde a venit, energiile cinetice finale ale celor două particule sunt:\\","$\frac{m v^{2}}{2}, m v^{2}$","$\frac{3}{2} m v^{2}, \frac{3}{4} m v^{2}$","$\frac{m v^{2}}{18}, m v$","$m v^{2}, \frac{3}{2} m v^{2}$","$m v^{2}, \frac{4}{9} m v^{2}$","$\frac{m v^{2}}{18}, \frac{4}{9} m v^{2}$","Ion M. Popescu","N/A","F","Considerăm cele două particule care au masele $m$ şi $M=2 m$. Atunci, avem:\\ $ m v=-m v_{1}^{\prime}+M v_{2}^{\prime}\\ \frac{m v^{2}}{2}=-\frac{m v_{1}^{\prime 2}}{2}+\frac{M v_{2}^{\prime 2}}{2}\\$ Din aceste relații se obține:\\ $v_{1}^{\prime}=\frac{M-m}{M+m} v$ şi $v_{2}^{\prime}=\frac{2 m}{M+m} v$.\\ Energiile cinetice ale celor două particule sunt:\\ $E_{c_{1}}=\frac{m}{2}\left(\frac{M-m}{M+m}\right)^{2} v^{2}=\frac{1}{18} m v^{2}\\$ şi\\ $E_{c_{2}}=\frac{M}{2}\left(\frac{2 m}{M+m}\right)^{2} v^{2}=\frac{4}{9} m v^{2}$.\\"
"1. MECANICĂ","1.2","Acceleraţia de $12960 \mathrm{~km} / \mathrm{h}^{2}$ în $\mathrm{m} / \mathrm{s}^{2}$ este:\\","$1 \mathrm{~m} / \mathrm{s}$","$1,5 \mathrm{~ms}$","$1,2 \mathrm{~m} / \mathrm{s}^{2}$","$2 \mathrm{~m} / \mathrm{s}^{2}$","$1 \mathrm{~m} / \mathrm{s}^{2}$","$1,5 \mathrm{~m} / \mathrm{s}^{2}$","Ion M. Popescu","N/A","E","$12960 \mathrm{~km} / \mathrm{h}^{2}=12960 \cdot \frac{1000}{3600^{2}}=1 \mathrm{~m} / \mathrm{s}^{2}$.\\"
"1. MECANICĂ","1.3","Un vagonet de masă $m_{1}=200 \mathrm{~kg}$ se mişcă cu viteza $v_{1}=5 \mathrm{~m} / \mathrm{s}$. În vagonet cade vertical un sac cu masa $m_{2}=50 \mathrm{~kg}$, viteza acestuia devenind:\\","$3 \mathrm{~m} / \mathrm{s}$","$5 \mathrm{~m} / \mathrm{s}$","$4 \mathrm{~m} / \mathrm{s}$","$2 \mathrm{~m} / \mathrm{s}$","$6 \mathrm{~m} / \mathrm{s}$","$10 \mathrm{~m} / \mathrm{s}$","Ion M. Popescu","N/A","C","$\left(m_{1}+m_{2}\right) v=m_{1} v_{1}$\\ Deci: $v=\frac{m_{1}}{\left(m_{1}+m_{2}\right)} v_{1}=\frac{200}{200+50} \cdot 5=4 \mathrm{~m} / \mathrm{s}$.\\"
"1. MECANICĂ","1.4","Accelerația gravitațională este $g=10 \mathrm{~m} / \mathrm{s}^{2}$. Lucrul mecanic efectuat de o macara care ridică un corp cu masa $m=300 \mathrm{~kg}$ la înălțimea $h=5 \mathrm{~m}$, cu accelerația $a=2 \mathrm{~m} / \mathrm{s}^{2}$, este:\\","$180 \mathrm{~kJ}$","$1800 \mathrm{~J}$","$16000 \mathrm{~J}$","$18 \mathrm{~kJ}$","$15 \mathrm{~kJ}$","$165 \mathrm{~kJ}$","Ion M. Popescu","N/A","D","$L=m(g+a) h=300 \cdot (10+2) \cdot 5=18000 \mathrm{~J}=18 \mathrm{~kJ}$.\\"
"1. MECANICĂ","1.5","Un obuz de masă $M=70 \mathrm{~kg}$ zboară cu viteza $v=320 \mathrm{~m} / \mathrm{s}$. La un moment dat, el explodează în două fragmente, dintre care unul are masa $m_{1}=30 \mathrm{~kg}$ și continuă să se mişte cu viteza $v_{1}=520 \mathrm{~m} / \mathrm{s}$. Cantitatea de energie cinetică ce se creează este:\\","$1,05 \mathrm{~MJ}$","$1 \mathrm{~MJ}$","$10,5 \mathrm{~MJ}$","$1060 \mathrm(~kJ}$","$0,5 \mathrm{~MJ}$","$1 \mathrm{~MJ}$","Ion M. Popescu","N/A","A","Calculăm viteza celui de-al doilea fragment:\\ $M v=m_{1} v_{1}+\left(M-m_{1}\right) v_{2} \Rightarrow v_{2}=\frac{M v-m_{1} v_{1}}{M-m_{1}}=\frac{70 \cdot 320-30 \cdot 520}{70-30}=170 \mathrm{~m} / \mathrm{s}$\\ Cantitatea de energie cinetică ce se creează este:\\ $E_{c} =\frac{m_{1} v_{1}^{2}}{2}+\frac{m_{2} v_{2}^{2}}{2}-\frac{M v^{2}}{2}=\frac{m_{1} v_{1}^{2}}{2}+\frac{1}{2}\left(M-m_{1}\right)\left(\frac{M v-m_{1} v_{1}}{M-m_{1}}\right)^{2}-\frac{M v^{2}}{2}= \\ =\frac{1}{2} \cdot \frac{M \cdot m_{1}}{M-m_{1}}\left(v_{1}-v\right)^{2}=\frac{1}{2} \cdot \frac{70 \cdot 30}{70-30}(520-320)^{2}=1,05 \mathrm{~MJ}$.\\"
"1. MECANICĂ","1.6","O bilă cu masa $m=0,15 \mathrm{~kg}$ cade liber pe un plan orizontal având în momentul ciocnirii viteza $v=12 \mathrm{~m} / \mathrm{s}$. Durata ciocnirii a fost $\Delta t=15 \mathrm{~ms}$. Forța medie de lovire, considerând ciocnirea perfect elastică, este:\\","$100 \mathrm{~N}$","$90 \mathrm{~N}$","$125 \mathrm{~N}$","$80 \mathrm{~N}$","$240 \mathrm{~N}$","$116 \mathrm{~N}$","Ion M. Popescu","N/A","E","$\Delta p =m v;\ F_{m} =\frac{\Delta p}{\Delta t}=\frac{2 m v}{\Delta t}=240 \mathrm{~N}$.\\"
"1. MECANICĂ","1.7","Pe şoseaua Bucureşti-Ploieşti (lungă de $60 \mathrm{~km}$), pleacă din Bucureşti spre Ploieşti un camion cu viteza $v_{1}=60 \mathrm{~km} / \mathrm{h}$ şi din Ploieşti spre Bucureşti în acelaşi moment, un alt camion cu viteza $v_{2}=50 \mathrm{~km} / \mathrm{h}$. În acelaşi moment dintr-unul din camioane îşi ia zborul spre celălalt camion un porumbel călător, care zboară cu viteza constantă $v_{3}=88 \mathrm{~km} / \mathrm{h}$, până la întâlnirea camioanelor. Care este distanța străbătută de porumbel?\\","$50 \mathrm{~km}$","$46 \mathrm{~km}$","$48 \mathrm{~km}$","$160 \mathrm{~km}$","$38 \mathrm{~km}$","$30 \mathrm{~km}$","Ion M. Popescu","N/A","C","$\frac{s}{v}=\frac{d}{v_{1}+v_{2}} \Rightarrow s=\frac{d \cdot v}{v_{1}+v_{2}}=\frac{60 \cdot 88}{60+50}=48 \mathrm{~km}$.\\"
"1. MECANICĂ","1.8","Care dintre următoarele variante pentru formula lui Galilei nu este adevărată?\\","$v^{2}=v_{0}^{2}+2 a\left(x-x_{0}\right)$","$v^{2}=2 a x$","$v^{2}=2 a\left(x-x_{0}\right)$","$v^{2}=v_{0}^{2}+2 a v$","$v^{2}=v_{0}^{2}+2 a x-2 a x_{0}$","$v^{2}=2 a x-2 a x_{0}$","Ion M. Popescu","N/A","D","Răspuns corect: D)\\"
"1. MECANICĂ","1.9","Pe o masă orizontală (cu frecare) un corp de masă $m=0,8 \mathrm{~kg}$ este tras uniform cu ajutorul unui dinamometru care indică o forță $F_{1}=3 \mathrm{~N}$. Când dinamometrul indică forța $F_{2}=7 \mathrm{~N}$, corpul se mişcă cu accelerația:\\","$5 \mathrm{~m} / \mathrm{s}^{2}$","$6 \mathrm{~m} / \mathrm{s}^{2}$","$8 \mathrm{~m} / \mathrm{s}^{2}$","$4 \mathrm{~m} / \mathrm{s}^{2}$","$10 \mathrm{~m} / \mathrm{s}^{2}$","Nu se poate calcula, deoarece nu se cunoaşte coeficientul de frecare $\mu$","Ion M. Popescu","N/A","A","$m a=F_{2}-F_{1} \Rightarrow a=\frac{F_{2}-F_{1}}{m}=\frac{7-3}{0,8}=5 \mathrm{~m} / \mathrm{s}^{2}$.\\"
"1. MECANICĂ","1.10","Un punct material de masă $m=1 \mathrm{~kg}$ alunecă fără frecare pe o suprafață curbă PQ (Fig 1.1). Accelerația gravitațională fiind $g=10 \mathrm{~m} / \mathrm{s}$ şi $R=5 \mathrm{~m}$, dacă mişcarea se face fără viteză inițială, viteza punctului material în punctul $Q$ este:\\","$8 \mathrm{~m} / \mathrm{s}$","$10 \mathrm{~m} / \mathrm{s}^{2}$","$4 \mathrm{~m} / \mathrm{s}$","$8 \mathrm{~m} / \mathrm{s}^{2}$","$20 \mathrm{~m} / \mathrm{s}$","$10 \mathrm{~m} / \mathrm{s}$","Ion M. Popescu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-004","F","$\left.\begin{array}{l} \frac{m v_{\mathrm{P}}^{2}}{2}+E_{p_{\mathrm{P}}}=\frac{m v_{\mathrm{Q}}^{2}}{2}+E_{p_{\mathrm{Q}}} \\ E_{p_{\mathrm{P}}}=E_{p_{\mathrm{Q}}}+m g R \\ v_{\mathrm{P}}=0 \end{array}\right\} \Rightarrow v_{\mathrm{Q}}=\sqrt{2 g R}=\sqrt{2 \cdot 10 \cdot 5}=10 \mathrm{~m} / \mathrm{s}$.\\"
