section,exercise_number,exercise_text,a,b,c,d,e,f,author,graphic,answer,solution
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.1","Într-un vas se află un amestec format din $60 \mathrm{~g}$ de hidrogen, cu masa molară $\mu_{\mathrm{H}}=2 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$ şi $120 \mathrm{~g}$ de dioxid de carbon cu masa molară $\mu_{\mathrm{CO_{2}}}=44 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$. Masa unui mol al acestui amestec este:\\","$5 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$","$5,5 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$","$6 \cdot 10^{-2} \mathrm{~kg} / \mathrm{mol}$","$5,5 \cdot 10^{-3} \mathrm{~kg} / \mathrm{kmol}$","$5 \cdot 10^{-4} \mathrm{~kg} / \mathrm{mol}$","$5,5 \mathrm{~kg}$","Ion M. Popescu","N/A","B","Masa molară a amestecului este: $\mu_{a}=\frac{m_{\mathrm{H}}+m_{\mathrm{CO}_{2}}}{\nu}$;\\ Numărul de moli de amestec este: $\nu=\nu_{1}+\nu_{2}=\frac{m_{\mathrm{H}}}{\mu_{\mathrm{H}}}+\frac{m_{\mathrm{CO}_{2}}}{\mu_{\mathrm{CO}_{2}}}$;\\ Deci: $\mu_{a}=\frac{m_{\mathrm{H}}+m_{\mathrm{CO}_{2}}}{\frac{m_{\mathrm{H}}}{\mu_{\mathrm{H}}}+\frac{m_{\mathrm{CO}_{2}}}{\mu_{\mathrm{CO}_{2}}}}=\mu_{\mathrm{H}} \mu_{\mathrm{CO}_{2}} \frac{m_{\mathrm{H}}+m_{\mathrm{CO}_{2}}}{m_{\mathrm{H}} \mu_{\mathrm{CO}_{2}}+m_{\mathrm{CO}_{2}} \mu_{\mathrm{H}}}=5,5 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.2","Un motor ideal, ce funcționează după un ciclu Carnot, absoarbe într-un ciclu căldura $Q_{1}=2500 \mathrm{~J}$ de la sursa caldă. Temperatura sursei calde este $t_{1}=227^{\circ} \mathrm{C}$, iar temperatura sursei reci $t_{2}=27^{\circ} \mathrm{C}$. Căldura cedată sursei reci este:\\","$1500 \mathrm{~J}$","$1600 \mathrm{~J}$","$1550 \mathrm{~J}$","$1000 \mathrm{~J}$","$40 \mathrm{~J}$","$1605 \mathrm{~J}$","Ion M. Popescu","N/A","A","Transformăm Celsius în Kelvin:\\ $T_{1}=273+227=500 \mathrm{~K}; \quad T_{2}=273+27=300 \mathrm{~K}$.\\ Deci: $\frac{T_{1}-T_{2}}{T_{1}}=\frac{Q_{1}-\left|Q_{2}\right|}{Q_{1}}\left|Q_{2}\right|=Q_{1} \frac{T_{2}}{T_{1}}=1500 \mathrm{~J}$.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.3","Într-un vas de volum $V=0,3 \mathrm{~m}^{3}$ la presiunea $p_{1}=2 \cdot 10^{5} \mathrm{~N} / \mathrm{m}^{2}$ se află aer care este răcit izocor, pierzând prin răcire căldura $Q=75 \mathrm{~kJ}$. Căldura molară izocoră a aerului fiind $C_{V}=5 R / 2$, presiunea finală a acestuia este:\\","$10^{6} \mathrm{~N} / \mathrm{m}^{2}$","$5 \cdot 10^{6} \mathrm{~N} / \mathrm{m}^{2}$","$10^{8} \mathrm{~N} / \mathrm{m}^{2}$","$3 \cdot 10^{6} \mathrm{~N} / \mathrm{m}^{2}$","$10^{5} \mathrm{~N} / \mathrm{m}^{2}$","$5 \cdot 10^{5} \mathrm{~N} / \mathrm{m}^{2}$","Ion M. Popescu","N/A","E","$Q=\nu C_{V}\left(T_{1}-T_{2}\right)$, unde $T_{1}=\frac{p_{1} V}{\nu R}$; $T_{2}=\frac{p_{2} V}{\nu R}$;\\ Deci: $Q=\nu \frac{5}{2} R V \frac{1}{\nu R}\left(p_{1}-p_{2}\right)=\frac{5}{2} V\left(p_{1}-p_{2}\right)$;\\ Obținem: $p_{2}=p_{1}-\frac{2}{5} \frac{Q}{V}=10^{5} \mathrm{~N} / \mathrm{m}^{2}$.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.4","$200 \mathrm{~g}$ de azot se încălzesc la presiune constantă de la temperatura de $20^{\circ} \mathrm{C}$ la $100{ }^{\circ} \mathrm{C}$, căldura specifică a azotului la presiune constantă fiind $c_{p}=1040 \mathrm{~J} / \mathrm{kg} \cdot \mathrm{K}$. Cantitatea de căldură necesară pentru efectuarea acestui proces este:\\","$10 \mathrm{~kJ}$","$14 \mathrm{~kJ}$","$16,64 \mathrm{~kJ}$","$14,64 \mathrm{~kJ}$","$13,36 \mathrm{~kJ}$","$5 \mathrm{~kJ}$","Ion M. Popescu","N/A","C","$Q=c_{p} m \Delta T=16,64 \mathrm{~kJ}$.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.5","Un gaz care se găseşte într-o stare inițială (1) caracterizată prin parametrii $p_{1}=5 \cdot 10^{5} \mathrm{~N} / \mathrm{m}^{2}$ şi $V_{1}=3 \cdot 10^{-3} \mathrm{~m}^{3}$ poate ajunge în starea (2), situată pe aceeaşi izotermă şi caracterizată prin $p_{2}=3,75 \cdot 10^{5} \mathrm{~N} / \mathrm{m}^{2}$ printr-o transformare izocoră, urmatǎ de una izobară ($1 \rightarrow 3 \rightarrow 2$) (Fig. 2.1). Lucrul mecanic efectuat pentru acest proces este:\\","$300 \mathrm{~J}$","$350 \mathrm{~J}$","$400 \mathrm{~J}$","$375 \mathrm{~J}$","$380 \mathrm{~J}$","$100 \mathrm{~J}$","Ion M. Popescu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-074","D","$L=p_{1}\left(V_{1}-V_{1}\right)+p_{2}\left(V_{2}-V_{1}\right)=p_{2}\left(\frac{p_{1} V_{1}}{p_{2}}-V_{1}\right)=V_{1}\left(p_{1}-p_{2}\right)=375 \mathrm{~J}$.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.6","O masă de oxigen de volum $V_{1}=2 \mathrm{~m}^{3}$ se află la presiunea $p_{1}=2 \cdot 10^{5} \mathrm{~N} / \mathrm{m}^{2}$. Gazul are $C_{V}=5 R / 2$. El este încălzit izobar şi se destinde până la volumul $V_{2}=6 \mathrm{~m}^{3}$, apoi izocor până ce presiunea devine $p_{3}=5 \cdot 10^{5} \mathrm{~N} / \mathrm{m}^{2}$. Variația energiei interne în aceste procese este:\\","$6 \cdot 10^{6} \mathrm{~J}$","$6,4 \cdot 10^{6} \mathrm{~J}$","$6,5 \cdot 10^{5} \mathrm{~J}$","$3 \cdot 10^{8} \mathrm{~J}$","$10^{7} \mathrm{~J}$","$6,5 \cdot 10^{6} \mathrm{~J}$","Ion M. Popescu","N/A","F","$\Delta U=\nu C_{V} \Delta T=\nu C_{V}\left(T_{3}-T_{1}\right)=\nu \frac{5}{2} R\left(\frac{p_{3} V_{2}}{v R}-\frac{p_{1} V_{1}}{v R}\right)= \\ =\frac{5}{2}\left(p_{3} V_{2}-p_{1} V_{1}\right)=6,5 \cdot 10^{6} \mathrm{~J}$.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.7","Încălzind un gaz cu $\Delta T=100 \mathrm{~K}$, viteza termică a moleculelor creşte de la $v_{T_{1}}=400 \mathrm{~m} / \mathrm{s}$ la $v_{T_{2}}=500 \mathrm{~m} / \mathrm{s}$. Constanta generală a gazelor fiind $R=8,31 \mathrm{~J} / \mathrm{mol} \cdot \mathrm{K}$ gazul are masa molară:\\","$29 \mathrm{~kg} / \mathrm{kmol}$","$28 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$","$32 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$","$30 \mathrm{~kg} / \mathrm{kmol}$","$28 \mathrm{~kg} / \mathrm{mol}$","$14 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$","Ion M. Popescu","N/A","B","Vitezele moleculelor la cele două temperaturi sunt:\\ $v_{T_{1}}=\sqrt{\frac{3 R T}{\mu}}$; \quad $v_{T_{2}}=\sqrt{\frac{3 R(T+\Delta T)}{\mu}}$;\\ Masa molară a gazului este: $\mu=\frac{3 R \Delta T}{v_{T_{2}}^{2}-v_{T_{1}}^{2}}=28 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.8","În condiții normale de temperatură şi presiune ($T=273,15 \mathrm{~K}$ şi $p=1 \mathrm{~atm}$), numărul lui Avogadro find $N_{A}=6,0234 \cdot 10^{23} \mathrm{molecule} / \mathrm{mol}$ şi volumul molar $V_{\mu_{0}}=22,42 \cdot 10^{-3} \mathrm{~m}^{3} / \mathrm{mol}$, numărul de molecule aflate într-un volum $V=1 \mathrm{~m}^{3}$ de oxigen sau de azot este:\\","$2,7 \cdot 10^{25}$ molecule, $2,5 \cdot 10^{25}$ molecule","$2 \cdot 10^{26}$ molecule","$2,5 \cdot 10^{25}$ molecule, $2,8 \cdot 10^{25}$ molecule","$2,7 \cdot 10^{25}$ molecule","$2 \cdot 10^{26}$ molecule, $3 \cdot 10^{25}$ molecule","$8 \cdot 10^{32}$ molecule","Ion M. Popescu","N/A","D","$N=N_{A} \frac{V}{V_{\mu_{0}}}=2,7 \cdot 10^{25}$ molecule. $N$ nu depinde de natura gazului.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.9","Numărul lui Avogadro fiind $N_{A}=6,024 \cdot 10^{23}$ molecule $/ \mathrm{mol}$ şi masa moleculară a oxigenului $\mu_{\mathrm{O}_{2}}=32 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$ într-o masă de $2 \mathrm{~kg}$ de oxigen se găseşte un număr de molecule egal cu:\\","$3,765 \cdot 10^{25}$ molecule","$3 \cdot 10^{25}$ molecule","$3 \cdot 10^{26}$ molecule","$3,765 \cdot 10^{26}$ molecule","$2,765 \cdot 10^{25}$ molecule","$3,8 \cdot 10^{25}$ molecule","Ion M. Popescu","N/A","A","$\frac{N_{\mathrm{O}_{2}}}{m}=\frac{N_{A}}{\mu_{\mathrm{O}_{2}}} \Rightarrow N_{\mathrm{O}_{2}}=m \frac{N_{A}}{\mu_{\mathrm{O}_{2}}}=3,765 \cdot 10^{25}$ molecule.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.10","Numărul lui Avogadro este $N_{A}=6,023 \cdot 10^{23}$ molecule $/ \mathrm{mol}$. Presiunea azotului find $p=56 \cdot 10^{3} \mathrm{Nm}^{2}$, viteza termică $v_{T}=600 \mathrm{~m} / \mathrm{s}$ şi masa moleculară $\mu=28 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$, concentrația moleculelor acestuia este:\\","$10^{24} \mathrm{~m}^{-3}$","$5 \cdot 10^{24} \mathrm{~m}^{-3}$","$10^{25} \mathrm{~m}^{-3}$","$3 \cdot 10^{25} \mathrm{~m}^{-3}$","$5 \cdot 10^{32} \mathrm{~m}^{-3}$","$2 \cdot 10^{25} \mathrm{~m}^{-3}$","Ion M. Popescu","N/A","C","Ne folosim de relațiile: $p=n k_{B} T; \quad v_{T}^{2}=\frac{3 R T}{\mu}$;\\ Deci: $n=\frac{p}{k_{B} T}=\frac{3 p R}{k_{B} \mu v_{T}^{2}}=\frac{3 p N_{A}}{\mu v_{T}^{2}}=10^{25} \mathrm{~m}^{-3}$\\"
