exercise_number,exercise_text,a,b,c,d,e,f,author,graphic
"3.1.","Două generatoare de tensiune electromotoare de $7 \mathrm{~V}$ și de rezistență interioară de $0,2 \Omega$ sunt legate în serie la bornele unui rezistor de rezistență de $6,6 \Omega$. Căldura disipată de rezistența de $6,6 \Omega$ în timp de un minut este:\\","$1584 \mathrm{~J}$","$1600 \mathrm{~J}$","$1580 \mathrm{~J}$","$1800 \mathrm{~J}$","$2050 \mathrm{~J}$","$3000 \mathrm{~J}$","Ion M. Popescu","N/A"
"3.2.","Un conductor de cupru ( $\rho_{\mathrm{Cu}}=1,7 \cdot 10^{-8} \Omega \mathrm{~m}$ ) lung de $160 \mathrm{~m}$ şi cu secțiunea de $16 \mathrm{~mm}^{2}$ este conectat la tensiunea de $170 \mathrm{~V}$. De-a lungul conductorului producându-se o cădere de tensiune de $6 \%$, prin conductor trece un curent electric de intensitate:\\","$55 \mathrm{~A}$","$65 \mathrm{~A}$","$40 \mathrm{~A}$","$100 \mathrm{~A}$","$60 \mathrm{~A}$","$75 \mathrm{~A}$","Ion M. Popescu","N/A"
"3.3.","În rețeaua din Fig. 3.1 se dau: $E=5,5 \mathrm{~V}, \quad R_{1}=1 \Omega, \quad R_{2}=2 \Omega, \quad R_{3}=3 \Omega$. Schimbând locul sursei $E$ cu cel al ampermetrului A , acesta indică:\\","$1 \mathrm{~A}$","$0,8 \mathrm{~A}$","$5 \mathrm{~A}$","$0,5 \mathrm{~A}$","$0,8 \mathrm{~A}$","$2 \mathrm{~A}$","Ion M. Popescu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-144"
"3.4.","Dacă două generatoare electrice cu tensiunea electromotoare de $8 \mathrm{~V}$ şi rezistența interioară de $0,2 \Omega$ sunt legate în serie la bornele unui rezistor cu rezistența de $7,6 \Omega$, prin fiecare generator electric trece curentul electric de intensitate:\\","$1,5 \mathrm{~A}$","$2 \mathrm{~A}$","$1,8 \mathrm{~A}$","$2,5 \mathrm{~A}$","$3 \mathrm{~A}$","$0,5 \mathrm{~A}$","Ion M. Popescu","N/A"
"3.5.","Dacă două generatoare electrice cu tensiunea electromotoare de $10 \mathrm{~V}$ și rezistența interioară de $0,2 \Omega$ sunt legate în paralel la bornele unui rezistor cu rezistența de $9,9 \Omega$, prin fiecare generator electric trece curentul electric de intensitate:\\","$0,6 \mathrm{~A}$","$0,4 \mathrm{~A}$","$0,5 \mathrm{~A}$","$1 \mathrm{~A}$","$3 \mathrm{~A}$","$2 \mathrm{~A}$","Ion M. Popescu","N/A"
"3.6.","Un generator electric care produce într-o rezistență de $16 \Omega$ aceeași putere electrică ca într-o rezistență de $25 \Omega$, are rezistența interioară egală cu:\\","$16 \Omega$","$22 \Omega$","$10 \Omega$","$20 \Omega$","$5 \Omega$","$30 \Omega$","Ion M. Popescu","N/A"
"3.7.","Un încălzitor are două rezistoare $R_{\mathrm{J}}$ şi $R_{2}$. Timpul de fierbere a unei mase de apă cu încălzitorul este $t_{1}=20 \mathrm{~s}$, dacă se conectează numai primul rezistor şi $t_{2}=30 \mathrm{~s}$, dacă se conectează numai al doilea rezistor. Dacă se conectează ambele rezistoare în paralel, timpul de fierbere a apei este:\\","$30 \mathrm{~s}$","$20 \mathrm{~s}$","$25 \mathrm{~s}$","$4 \mathrm{~s}$","$16 \mathrm{~s}$","$12 \mathrm{~s}$","Ion M. Popescu","N/A"
"3.8.","Un bec şi un reostat sunt legate în serie şi formează un circuit electric, consumând împreună $200 \mathrm{~W}$. Tensiunea la bornele becului fiind $60 \mathrm{~V}$ şi rezistenţa reostatului $20 \Omega$, prin circuitul electric trece curentul electric de intensitate:\\","$12 \mathrm{~A}$","$5 \mathrm{~A}$","$1 \mathrm{~A}$","$3 \mathrm{~A}$","$2 \mathrm{~A}$","$2,5 \mathrm{~A}$","Ion M. Popescu","N/A"
"3.9.*","Un corp cu suprafața de $50 \mathrm{~cm}^{2}$ este legat la catodul unei băi de nichelare prin care trece un curent electric cu intensitatea de $1,0 \mathrm{~A}$. Pe suprafaţa corpului se depune un strat de nichel ( $\rho_{\mathrm{Ni}}=8,8 \cdot 10^{3} \mathrm{~kg} / \mathrm{m}^{3}, k_{\mathrm{Ni}}=0,203 \mathrm{~mg} / \mathrm{C}$ ) gros de $0,1015 \mathrm{~mm}$ în timpul de:\\","$22 \mathrm{~s}$","$40 \mathrm{~s}$","$20 \mathrm{~s}$","$32 \mathrm{~s}$","$15 \mathrm{~s}$","$100 \mathrm{~s}$","Ion M. Popescu","N/A"
"3.10.","Se consideră un circuit format dintr-un rezistor legat la o sursă cu tensiune electromotoare de $2 \mathrm{~V}$ şi rezistența interioară $r=1 \Omega$. Căderea de tensiune pe rezistența interioară a sursei, ştiind că puterea disipată pe rezistor este maximă, va fi:\\","$5 \mathrm{~V}$","$0,1 \mathrm{~V}$","$1 \mathrm{~V}$","$3 \mathrm{~V}$","$0,2 \mathrm{~V}$","$1,5 \mathrm{~V}$","Niculae Puşcaş","N/A"
"3.11.","Se consideră trei rezistoare: $R_{1}=R ; R_{2}=R+R_{0} ; R_{3}=R-R_{0}$. Valorile rezistențelor astfel ca la legarea în serie a acestora rezistența echivalentă să fie $9 \Omega$, iar la legarea în paralel să fie $12 / 13 \Omega$, sunt:\\","$3 \Omega , 4 \Omega , 2 \Omega$","$10 \Omega , 1,5 \Omega , 2 \Omega$","$1 \Omega , 5 \Omega , 3 \Omega$","$1 \Omega , 2 \Omega , 0,5 \Omega$","$15 \Omega , 17 \Omega , 13 \Omega$","$1 \Omega , 10 \Omega , 3 \Omega$","Niculae Puşcaş","N/A"
"3.12.","Se leagă $n$ rezistențe identice mai întâi în serie şi apoi în paralel. Între rezistentele echivalente $R_{s}$ şi $R_{p}$ se poate scrie relația:\\","$R_{S} / R_{p}<n^{2}$","$R_{s} / R_{p}=n^{2}$","$R_{s} / R_{p}<1 / n^{2}$","$R_{s} / R_{p}>1 / n^{2}$","$R_{S} / R_{p}>n^{2}$","$R_{s} / R_{p}=1$","Corneliu Ghizdeanu","N/A"
"3.13.","Un încălzitor electric are două rezistoare. Timpul de fierbere a conținutului de apă din încălzitor este $t_{1}$ şi respectiv $t_{2}$, după cum se conectează doar primul sau doar al doilea rezistor. Care este timpul de fierbere, dacă se conectează ambele rezistoare în serie (randamentul se consideră acelaşi în toate cazurile) ?\\","$t_{1}+t_{2}$","$\frac{t_{1}+t_{2}}{2}$","$t_{2}-t_{1}$","$\sqrt{t_{1} t_{2}}$","$\frac{t_{1} t_{2}}{t_{1}+t_{2}}$","$t_{1}^{2} t_{2}$","Corneliu Ghizdeanu","N/A"
