exercise_number,letter
3.1,A
3.2,E
3.3,A
3.4,B
3.5,C
3.6,D
3.7,F
3.8,E
3.9,A
3.10,C
3.11,A
3.12,B
3.13,A
3.14,E
3.15,A
3.16,A
3.17,E
3.18,C
3.19,C
3.20,C
3.21,A
3.22,A
3.23,D
3.24,C
3.25,C
3.26,D
3.27,C
3.28,C
3.29,B
3.30,B
3.31,B
3.32,C
3.33,D
3.34,B
3.35,F
3.36,E
3.37,E
3.38,D
3.39,B
3.40,E
3.41,B
3.42,E
3.43,C
3.44,E
3.45,A
3.46,F
3.47,E
3.48,A
3.49,B
3.50,F
3.51,C
3.52,B
3.53,B
3.54,A
3.55,D
3.56,B
3.57,A
3.58,C
3.59,A
3.60,C
3.61,A
3.62,D
3.63,B
3.64,A
3.65,F
3.66,F
3.67,C
3.68,B
3.69,D
3.70,A
3.71,B
3.72,E
3.73,B
3.74,A
3.75,A
3.76,A
3.77,D
3.78,A
3.79,C
3.80,A
3.81,B
3.82,D
3.83,B
3.84,C
3.85,D
3.86,E
3.87,C
3.88,E
3.89,C
3.90,C
3.91,E
3.92,C
3.93,B
3.94,E
3.95,C
3.96,E
3.97,A
3.98,A
3.99,C
3.100,B
3.101,A
3.102,E
3.103,B
3.104,B
3.105,A
3.106,E
3.107,D
3.108,B
3.109,D
3.110,B
3.111,B
3.112,A
3.113,E
3.114,A
3.115,B
3.116,A
3.117,B
3.118,F
3.119,B
3.120,E
3.121,B
3.122,C
3.123,D
3.124,D
3.125,B
3.126,E
3.127,B
3.128,D
3.129,C
3.130,B
3.131,B
3.132,C
3.133,B
3.134,D
3.135,B
3.136,B
3.137,B
3.138,B
3.139,B
3.140,D
3.141,D
3.142,D
3.143,C
3.144,E
3.145,B
3.146,D
3.147,D
3.148,C
3.149,A
3.150,D
3.151,D
3.152,D
3.153,C
3.154,A
3.155,B
3.156,C
3.157,C
3.158,E
3.159,C
3.160,E
3.161,E
3.162,D
3.163,D
3.164,D
3.165,D
3.166,D
3.167,A
3.168,D
3.169,C
3.170,D
3.171,D
3.172,E
3.173,D
3.174,D
3.175,B
3.176,C
3.177,E
3.178,C
3.179,A
3.180,B
3.181,C
3.182,A
3.183,D
3.184,B
3.185,C
3.186,A
3.187,D
3.188,F
3.189,A
3.190,D
3.191,C
3.192,E
3.193,E
3.194,C
3.195,B
3.196,B
3.197,B
3.198,F
3.199,E
3.200,A
3.201,C
3.202,C
3.203,A
3.204,A
3.205,A
3.206,D
3.207,A
3.208,A
3.209,A
