exercise_number,letter
1.1,F
1.2,E
1.3,C
1.4,D
1.5,A
1.6,E
1.7,C
1.8,D
1.9,A
1.10,F
1.11,B
1.12,C
1.13,E
1.14,C
1.15,E
1.16,A
1.17,C
1.18,E
1.19,F
1.20,B
1.21,A
1.22,C
1.23,D
1.24,B
1.25,A
1.26,C
1.27,E
1.28,A
1.29,E
1.30,B
1.31,A
1.32,B
1.33,E
1.34,F
1.35,A
1.36,C
1.37,C
1.38,B
1.39,D
1.40,C
1.41,B
1.42,B
1.43,D
1.44,A
1.45,D
1.46,A
1.47,C
1.48,E
1.49,F
1.50,C
1.51,C
1.52,C
1.53,B
1.54,D
1.55,D
1.56,C
1.57,A
1.58,A
1.59,F
1.60,E
1.61,B
1.62,A
1.63,B
1.64,C
1.65,D
1.66,E
1.67,A
1.68,A
1.69,A
1.70,A
1.71,D
1.72,D
1.73,D
1.74,C
1.75,D
1.76,B
1.77,A
1.78,D
1.79,C
1.80,F
1.81,B
1.82,E
1.83,A
1.84,D
1.85,A
1.86,E
1.87,C
1.88,D
1.89,E
1.90,C
1.92,D
1.93,A
1.94,A
1.95,D
1.97,D
1.98,D
1.99,E
1.100,E
1.101,C
1.102,D
1.103,D
1.104,D
1.105,E
1.106,F
1.107,B
1.108,D
1.109,F
1.110,C
1.111,D
1.112,A
1.113,C
1.114,E
1.115,A
1.116,C
1.117,E
1.118,D
1.119,C
1.120,B
1.121,B
1.122,C
1.123,B
1.124,B
1.125,A
1.126,C
1.127,A
1.128,B
1.129,A
1.130,C
1.131,E
1.132,A
1.133,C
1.134,D
1.135,D
1.136,A
1.137,D
1.138,B
1.139,D
1.140,F
1.141,C
1.142,C
1.143,C
1.144,B
1.145,E
1.146,C
1.147,B
1.148,F
1.149,A
1.150,A
1.151,D
1.152,D
1.153,E
1.154,B
1.155,D
1.156,F
1.157,A
1.158,B
1.159,B
1.160,C
1.161,C
1.162,E
1.163,D
1.164,A
1.165,A
1.166,B
1.167,C
1.168,C
1.169,A
1.170,E
1.171,D
1.172,C
1.173,C
1.174,B
1.175,B
1.176,A
1.177,A
1.178,D
1.179,C
1.180,C
1.181,B
1.182,B
1.183,F
1.184,B
1.185,B
1.186,A
1.187,D
1.188,F
1.189,C
1.190,E
1.191,D
1.192,C
1.193,C
1.194,A
1.195,A
1.196,B
1.197,C
1.198,C
1.199,D
1.200,D
1.201,D
1.202,E
1.203,F
1.204,E
1.205,C
1.206,D
1.207,C
1.208,D
1.209,B
1.210,C
1.211,D
1.212,E
1.213,B
1.214,C
1.215,A
1.216,A
1.217,E
1.218,C
1.219,D
1.220,D
1.221,B
1.222,E
1.223,A
1.224,D
1.225,E
1.226,E
1.227,B
1.228,B
1.229,A
1.230,B
1.231,E
1.232,B
1.233,B
1.234,A
1.235,E
1.236,F
1.237,E
1.238,C
1.239,A
1.240,D
1.241,C
1.242,D
1.243,A
1.244,B
1.245,D
1.246,C
1.247,B
1.248,F
1.249,C
1.250,A
1.251,B
1.252,D
1.253,D
1.254,F
1.255,B
1.256,B
1.257,C
1.258,D
1.259,D
1.260,C
1.261,B
1.262,C
1.264,B
1.265,C
1.266,A
1.267,D
1.268,C
1.269,C
1.270,F
1.271,A
1.272,A
1.273,A
1.274,C
1.275,D
1.276,E
1.277,C
1.278,F
1.279,E
1.280,C
1.281,C
1.282,B
1.283,B
1.284,E
1.285,C
1.286,A
1.287,A
1.288,B
1.289,D
1.290,B
1.291,E
1.292,B
1.293,F
1.294,C
1.295,E
1.296,B
1.297,B
1.298,C
1.299,A
1.300,D
1.301,D
1.302,A
1.303,D
1.304,A
1.305,D
1.306,E
1.307,E
1.308,A
1.309,D
1.310,A
1.311,A
1.312,C
1.313,A
1.314,B
1.315,C
1.316,A
1.317,D
1.318,A
1.319,A
1.320,B
1.321,A
1.322,F
1.323,A
1.324,D
1.325,A
1.326,E
1.327,A
