Section,Exercise,Answer
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.1,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.2,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.3,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.4,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.5,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.6,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.7,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.8,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.9,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.10,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.11,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.12,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.13,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.14,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.15,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.16,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.17,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.18,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.19,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.20,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.21,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.22,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.23,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.24,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.25,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.26,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.27,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.28,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.29,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.30,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.31,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.32,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.33,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.34,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.35,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.36,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.37,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.38,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.39,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.40,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.41,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.42,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.43,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.44,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.45,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.46,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.47,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.48,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.49,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.50,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.51,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.52,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.53,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.54,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.55,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.56,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.57,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.58,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.59,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.60,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.61,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.62,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.63,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.64,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.65,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.66,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.67,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.68,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.69,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.70,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.71,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.72,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.73,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.74,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.75,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.76,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.77,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.78,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.79,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.80,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.81,C
