section,exercise_number,answer
3. ELECTRICITATE ŞI MAGNETISM,3.1,A
3. ELECTRICITATE ŞI MAGNETISM,3.2,E
3. ELECTRICITATE ŞI MAGNETISM,3.3,A
3. ELECTRICITATE ŞI MAGNETISM,3.4,B
3. ELECTRICITATE ŞI MAGNETISM,3.5,C
3. ELECTRICITATE ŞI MAGNETISM,3.6,D
3. ELECTRICITATE ŞI MAGNETISM,3.7,F
3. ELECTRICITATE ŞI MAGNETISM,3.8,E
3. ELECTRICITATE ŞI MAGNETISM,3.9,A
3. ELECTRICITATE ŞI MAGNETISM,3.10,C
3. ELECTRICITATE ŞI MAGNETISM,3.11,A
3. ELECTRICITATE ŞI MAGNETISM,3.12,B
3. ELECTRICITATE ŞI MAGNETISM,3.13,A
3. ELECTRICITATE ŞI MAGNETISM,3.14,E
3. ELECTRICITATE ŞI MAGNETISM,3.15,A
3. ELECTRICITATE ŞI MAGNETISM,3.16,A
3. ELECTRICITATE ŞI MAGNETISM,3.17,E
3. ELECTRICITATE ŞI MAGNETISM,3.18,C
3. ELECTRICITATE ŞI MAGNETISM,3.19,C
3. ELECTRICITATE ŞI MAGNETISM,3.20,C
3. ELECTRICITATE ŞI MAGNETISM,3.21,A
3. ELECTRICITATE ŞI MAGNETISM,3.22,A
3. ELECTRICITATE ŞI MAGNETISM,3.23,D
3. ELECTRICITATE ŞI MAGNETISM,3.24,C
3. ELECTRICITATE ŞI MAGNETISM,3.25,C
3. ELECTRICITATE ŞI MAGNETISM,3.26,D
3. ELECTRICITATE ŞI MAGNETISM,3.27,C
3. ELECTRICITATE ŞI MAGNETISM,3.28,C
3. ELECTRICITATE ŞI MAGNETISM,3.29,B
3. ELECTRICITATE ŞI MAGNETISM,3.30,B
3. ELECTRICITATE ŞI MAGNETISM,3.31,B
3. ELECTRICITATE ŞI MAGNETISM,3.32,C
3. ELECTRICITATE ŞI MAGNETISM,3.33,D
3. ELECTRICITATE ŞI MAGNETISM,3.34,B
3. ELECTRICITATE ŞI MAGNETISM,3.35,F
3. ELECTRICITATE ŞI MAGNETISM,3.36,E
3. ELECTRICITATE ŞI MAGNETISM,3.37,E
3. ELECTRICITATE ŞI MAGNETISM,3.38,D
3. ELECTRICITATE ŞI MAGNETISM,3.39,B
3. ELECTRICITATE ŞI MAGNETISM,3.40,E
3. ELECTRICITATE ŞI MAGNETISM,3.41,B
3. ELECTRICITATE ŞI MAGNETISM,3.42,E
3. ELECTRICITATE ŞI MAGNETISM,3.43,C
3. ELECTRICITATE ŞI MAGNETISM,3.44,E
3. ELECTRICITATE ŞI MAGNETISM,3.45,A
3. ELECTRICITATE ŞI MAGNETISM,3.46,F
3. ELECTRICITATE ŞI MAGNETISM,3.47,E
3. ELECTRICITATE ŞI MAGNETISM,3.48,A
3. ELECTRICITATE ŞI MAGNETISM,3.49,B
3. ELECTRICITATE ŞI MAGNETISM,3.50,F
3. ELECTRICITATE ŞI MAGNETISM,3.51,C
3. ELECTRICITATE ŞI MAGNETISM,3.52,B
3. ELECTRICITATE ŞI MAGNETISM,3.53,B
3. ELECTRICITATE ŞI MAGNETISM,3.54,A
3. ELECTRICITATE ŞI MAGNETISM,3.55,D
3. ELECTRICITATE ŞI MAGNETISM,3.56,B
3. ELECTRICITATE ŞI MAGNETISM,3.57,A
3. ELECTRICITATE ŞI MAGNETISM,3.58,C
3. ELECTRICITATE ŞI MAGNETISM,3.59,A
3. ELECTRICITATE ŞI MAGNETISM,3.60,C
3. ELECTRICITATE ŞI MAGNETISM,3.61,A
3. ELECTRICITATE ŞI MAGNETISM,3.62,D
3. ELECTRICITATE ŞI MAGNETISM,3.63,B
3. ELECTRICITATE ŞI MAGNETISM,3.64,A
3. ELECTRICITATE ŞI MAGNETISM,3.65,F
3. ELECTRICITATE ŞI MAGNETISM,3.66,F
3. ELECTRICITATE ŞI MAGNETISM,3.67,C
3. ELECTRICITATE ŞI MAGNETISM,3.68,B
3. ELECTRICITATE ŞI MAGNETISM,3.69,D
3. ELECTRICITATE ŞI MAGNETISM,3.70,A
3. ELECTRICITATE ŞI MAGNETISM,3.71,B
3. ELECTRICITATE ŞI MAGNETISM,3.72,E
3. ELECTRICITATE ŞI MAGNETISM,3.73,B
3. ELECTRICITATE ŞI MAGNETISM,3.74,A
3. ELECTRICITATE ŞI MAGNETISM,3.75,A
3. ELECTRICITATE ŞI MAGNETISM,3.76,A
3. ELECTRICITATE ŞI MAGNETISM,3.77,D
3. ELECTRICITATE ŞI MAGNETISM,3.78,A
3. ELECTRICITATE ŞI MAGNETISM,3.79,C
3. ELECTRICITATE ŞI MAGNETISM,3.80,A
3. ELECTRICITATE ŞI MAGNETISM,3.81,B
3. ELECTRICITATE ŞI MAGNETISM,3.82,D
3. ELECTRICITATE ŞI MAGNETISM,3.83,B
3. ELECTRICITATE ŞI MAGNETISM,3.84,C
3. ELECTRICITATE ŞI MAGNETISM,3.85,D
3. ELECTRICITATE ŞI MAGNETISM,3.86,E
3. ELECTRICITATE ŞI MAGNETISM,3.87,C
3. ELECTRICITATE ŞI MAGNETISM,3.88,E
3. ELECTRICITATE ŞI MAGNETISM,3.89,C
3. ELECTRICITATE ŞI MAGNETISM,3.90,C
3. ELECTRICITATE ŞI MAGNETISM,3.91,E
3. ELECTRICITATE ŞI MAGNETISM,3.92,C
3. ELECTRICITATE ŞI MAGNETISM,3.93,B
3. ELECTRICITATE ŞI MAGNETISM,3.94,E
3. ELECTRICITATE ŞI MAGNETISM,3.95,C
3. ELECTRICITATE ŞI MAGNETISM,3.96,E
3. ELECTRICITATE ŞI MAGNETISM,3.97,A
3. ELECTRICITATE ŞI MAGNETISM,3.98,A
