Section,Exercise,Answer
1. MECANICĂ,1.1,F
1. MECANICĂ,1.2,E
1. MECANICĂ,1.3,C
1. MECANICĂ,1.4,D
1. MECANICĂ,1.5,A
1. MECANICĂ,1.6,E
1. MECANICĂ,1.7,C
1. MECANICĂ,1.8,D
1. MECANICĂ,1.9,A
1. MECANICĂ,1.10,F
1. MECANICĂ,1.11,B
1. MECANICĂ,1.12,C
1. MECANICĂ,1.13,E
1. MECANICĂ,1.14,C
1. MECANICĂ,1.15,E
1. MECANICĂ,1.16,A
1. MECANICĂ,1.17,C
1. MECANICĂ,1.18,E
1. MECANICĂ,1.19,F
1. MECANICĂ,1.20,B
1. MECANICĂ,1.21,A
1. MECANICĂ,1.22,C
1. MECANICĂ,1.23,D
1. MECANICĂ,1.24,B
1. MECANICĂ,1.25,A
1. MECANICĂ,1.26,C
1. MECANICĂ,1.27,E
1. MECANICĂ,1.28,A
1. MECANICĂ,1.29,E
1. MECANICĂ,1.30,B
1. MECANICĂ,1.31,A
1. MECANICĂ,1.32,B
1. MECANICĂ,1.33,E
1. MECANICĂ,1.34,F
1. MECANICĂ,1.35,A
1. MECANICĂ,1.36,C
1. MECANICĂ,1.37,C
1. MECANICĂ,1.38,B
1. MECANICĂ,1.39,D
1. MECANICĂ,1.40,C
1. MECANICĂ,1.41,B
1. MECANICĂ,1.42,B
1. MECANICĂ,1.43,D
1. MECANICĂ,1.44,A
1. MECANICĂ,1.45,D
1. MECANICĂ,1.46,A
1. MECANICĂ,1.47,C
1. MECANICĂ,1.48,E
1. MECANICĂ,1.49,F
1. MECANICĂ,1.50,C
1. MECANICĂ,1.51,C
1. MECANICĂ,1.52,C
1. MECANICĂ,1.53,B
1. MECANICĂ,1.54,D
1. MECANICĂ,1.55,D
1. MECANICĂ,1.56,C
1. MECANICĂ,1.57,A
1. MECANICĂ,1.58,A
1. MECANICĂ,1.59,F
1. MECANICĂ,1.60,E
1. MECANICĂ,1.61,B
1. MECANICĂ,1.62,A
1. MECANICĂ,1.63,B
1. MECANICĂ,1.64,C
1. MECANICĂ,1.65,D
1. MECANICĂ,1.66,E
1. MECANICĂ,1.67,A
1. MECANICĂ,1.68,A
1. MECANICĂ,1.69,A
1. MECANICĂ,1.70,A
1. MECANICĂ,1.71,D
1. MECANICĂ,1.72,D
1. MECANICĂ,1.73,D
1. MECANICĂ,1.74,C
1. MECANICĂ,1.75,D
1. MECANICĂ,1.76,B
1. MECANICĂ,1.77,A
1. MECANICĂ,1.78,D
1. MECANICĂ,1.79,C
1. MECANICĂ,1.80,F
1. MECANICĂ,1.81,B
1. MECANICĂ,1.82,E
1. MECANICĂ,1.83,A
1. MECANICĂ,1.84,D
1. MECANICĂ,1.85,A
1. MECANICĂ,1.86,E
1. MECANICĂ,1.87,C
1. MECANICĂ,1.88,D
1. MECANICĂ,1.89,E
1. MECANICĂ,1.90,C
1. MECANICĂ,1.91,B
1. MECANICĂ,1.92,D
1. MECANICĂ,1.93,A
1. MECANICĂ,1.94,A
1. MECANICĂ,1.95,D
1. MECANICĂ,1.96,E
1. MECANICĂ,1.97,D
1. MECANICĂ,1.98,D
1. MECANICĂ,1.99,E
