exercise_number,solution
"1.1","Considerăm cele două particule care au masele $m$ şi $M=2 m$. Atunci, avem:\\ $ m v=-m v_{1}^{\prime}+M v_{2}^{\prime}\\ \frac{m v^{2}}{2}=-\frac{m v_{1}^{\prime 2}}{2}+\frac{M v_{2}^{\prime 2}}{2}\\$ Din aceste relații se obține:\\ $v_{1}^{\prime}=\frac{M-m}{M+m} v$ şi $v_{2}^{\prime}=\frac{2 m}{M+m} v$.\\ Energiile cinetice ale celor două particule sunt:\\ $E_{c_{1}}=\frac{m}{2}\left(\frac{M-m}{M+m}\right)^{2} v^{2}=\frac{1}{18} m v^{2}\\$ şi\\ $E_{c_{2}}=\frac{M}{2}\left(\frac{2 m}{M+m}\right)^{2} v^{2}=\frac{4}{9} m v^{2}$.\\"
"1.2","$12960 \mathrm{~km} / \mathrm{h}^{2}=12960 \cdot \frac{1000}{3600^{2}}=1 \mathrm{~m} / \mathrm{s}^{2}$.\\"
"1.3","$\left(m_{1}+m_{2}\right) v=m_{1} v_{1}$\\ Deci: $v=\frac{m_{1}}{\left(m_{1}+m_{2}\right)} v_{1}=\frac{200}{200+50} \cdot 5=4 \mathrm{~m} / \mathrm{s}$.\\"
"1.4","$L=m(g+a) h=300 \cdot (10+2) \cdot 5=18000 \mathrm{~J}=18 \mathrm{~kJ}$.\\"
"1.5","Calculăm viteza celui de-al doilea fragment:\\ $M v=m_{1} v_{1}+\left(M-m_{1}\right) v_{2} \Rightarrow v_{2}=\frac{M v-m_{1} v_{1}}{M-m_{1}}=\frac{70 \cdot 320-30 \cdot 520}{70-30}=170 \mathrm{~m} / \mathrm{s}$\\ Cantitatea de energie cinetică ce se creează este:\\ $E_{c} =\frac{m_{1} v_{1}^{2}}{2}+\frac{m_{2} v_{2}^{2}}{2}-\frac{M v^{2}}{2}=\frac{m_{1} v_{1}^{2}}{2}+\frac{1}{2}\left(M-m_{1}\right)\left(\frac{M v-m_{1} v_{1}}{M-m_{1}}\right)^{2}-\frac{M v^{2}}{2}= \\ =\frac{1}{2} \cdot \frac{M \cdot m_{1}}{M-m_{1}}\left(v_{1}-v\right)^{2}=\frac{1}{2} \cdot \frac{70 \cdot 30}{70-30}(520-320)^{2}=1,05 \mathrm{~MJ}$.\\"
"1.6","$\Delta p =m v;\ F_{m} =\frac{\Delta p}{\Delta t}=\frac{2 m v}{\Delta t}=240 \mathrm{~N}$.\\"
"1.7","$\frac{s}{v}=\frac{d}{v_{1}+v_{2}} \Rightarrow s=\frac{d \cdot v}{v_{1}+v_{2}}=\frac{60 \cdot 88}{60+50}=48 \mathrm{~km}$.\\"
"1.8","Răspuns corect: D)\\"
"1.9","$m a=F_{2}-F_{1} \Rightarrow a=\frac{F_{2}-F_{1}}{m}=\frac{7-3}{0,8}=5 \mathrm{~m} / \mathrm{s}^{2}$.\\"
"1.10","$\left.\begin{array}{l} \frac{m v_{\mathrm{P}}^{2}}{2}+E_{p_{\mathrm{P}}}=\frac{m v_{\mathrm{Q}}^{2}}{2}+E_{p_{\mathrm{Q}}} \\ E_{p_{\mathrm{P}}}=E_{p_{\mathrm{Q}}}+m g R \\ v_{\mathrm{P}}=0 \end{array}\right\} \Rightarrow v_{\mathrm{Q}}=\sqrt{2 g R}=\sqrt{2 \cdot 10 \cdot 5}=10 \mathrm{~m} / \mathrm{s}$.\\"
"1.11","$v=v_{0}-g t\\ E_{c}=\frac{m v^{2}}{2}=\frac{m}{2}\left(v_{0}-g t\right)^{2}=\frac{60 \cdot 10^{-3}}{2}(40-10 \cdot 1)^{2}=27 \mathrm{~J}$.\\"
"1.12","$L=F_{m} \cdot d=\frac{F(x)+F\left(x_{0}\right)}{2}\left(x-x_{0}\right)=1,08 \mathrm{~kJ}$.\\"
"1.13","$\frac{m v^{2}}{2}=F x\\ F=\frac{m v^{2}}{2 x}=\frac{25 \cdot 10^{3} \cdot 0,3^{2}}{2 \cdot 3 \cdot 10^{-2}}=37,5 \mathrm{~kN}$.\\"
"1.14","Răspuns corect: C)\\"
"1.15","$m_{1} v_{1}+m_{2} v_{2}=\left(m_{1}+m_{2}\right) \cdot v\\ Q =E_{c}=m_{1} \frac{v_{1}^{2}}{2}+m_{2} \frac{v_{2}^{2}}{2}-\frac{1}{2}\left(m_{1}+m_{2}\right) \cdot v^{2}= \\ =\frac{1}{2} \cdot \frac{m_{1} m_{2}}{m_{1}+m_{2}}\left(v_{1}-v_{2}\right)^{2}=\frac{1}{2} \cdot \frac{3 \cdot 2}{3+2}(2+3)^{2}=15 \mathrm{~J}$.\\"
"1.16","Mişcarea este uniform accelerată ($F=$ const.):\\ $v=a t \Rightarrow a=\frac{v}{t}=\frac{108000}{3600 \cdot 10}=3 \mathrm{~m} / \mathrm{s}^{2}\\ S=\frac{a t^{2}}{2}=\frac{3 \cdot 100}{2}=150 \mathrm{~m}$.\\"
"1.17","Componenta orizontală a forței resortului trebuie sǎ fie cel puțin egală cu forța de frecare (vezi figura problemei): $F_{0}=\mu\left(m g-F_{v}\right) \quad(1)\\ F_{0}=F \cos \alpha ; \quad F_{v}=F \sin \alpha ; \quad F=k \Delta x$\\ Ecuația (1) devine:\\ $k \Delta x \cos \alpha=\mu(m g-k \Delta x \sin \alpha) \Rightarrow \Delta x=\frac{\mu m g}{k(\cos \alpha+\mu \sin \alpha)}\\ E_{p}=\frac{k \Delta x^{2}}{2}=8,59 \mathrm{~J}.$\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-201}\\ Figura problemei \end{center}\\"
"1.18","Conform conservării energiei: $\frac{m v^{2}}{2}+m g h=\frac{m v_{0}^{2}}{2} \quad(1)$\\ Dar $\frac{m v^{2}}{2}=\frac{1}{4} m g h$, ecuaţia (1) devine:\\ $\frac{1}{4} m g h+m g h=\frac{m v_{0}^{2}}{2} \Rightarrow h=\frac{2 v_{0}^{2}}{5 g}$.\\"
"1.19","$L=m g h=G h=8400 \cdot 35=294000 \mathrm{~J}=294 \mathrm{~kJ}$.\\"
"1.20","$T_{1}=m_{1}(a+g); \quad T_{2}=m_{2}(g-a)\\ T_{1}=T_{2} \Rightarrow m_{1}(g+a)=m_{2}(g-a) \Rightarrow g\left(m_{2}-m_{1}\right)=a\left(m_{1}+m_{2}\right)\\ a=\frac{g\left(m_{2}-m_{1}\right)}{m_{1}+m_{2}}=\frac{10 \cdot 2}{10}=2 \mathrm{~m} / \mathrm{s}^{2}$.\\"
"1.21","$F=m_{1} a_{1}; \quad F=m_{2} a_{2}\\ F=\left(m_{1}+m_{2}\right) a$ \text { sau } $F=\left(\frac{F}{a_{1}}+\frac{F}{a_{2}}\right) a$\\ Rezultǎ: $a=\frac{a_{1} a_{2}}{a_{1}+a_{2}}=\frac{192}{32}=6 \mathrm{~m} / \mathrm{s}^{2}$.\\"
"1.22","$F=\sqrt{F_{1}^{2}+F_{2}^{2}}=5 \mathrm{~N}\\ m a=F-\mu m g=5-0,25 \cdot 20=0 \Rightarrow a=0$.\\"
"1.23","$A B=v t=26 \cdot 2=52 \mathrm{~m}\\ A C=v_{s} \frac{t}{2}=340 \frac{2}{2}=340 \mathrm{~m}$\\ Conform figurii problemei:\\ $x=\sqrt{A C^{2}-A O^{2}}=\sqrt{115600-676}=339 \mathrm{~m}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-202}\\ Figura problemei \end{center}\\"
"1.24","$a=g \sin \alpha \approx g \alpha=10 \cdot \frac{9}{\pi} \cdot \frac{\pi}{180}=\frac{1}{2} \mathrm{~m} / \mathrm{s}^{2}$\\ $v=v_{0}-a t \Rightarrow t=\frac{v_{0}-v}{a}=\frac{20-5}{\frac{1}{2}}=30 \mathrm{~s}$.\\"
"1.25","$h_{m}=\frac{g t_{c}^{2}}{2}; \quad t_{c}=t_{u}=\frac{t}{2}\\ h_{m}=\frac{g}{2} \frac{t^{2}}{4}=\frac{10 \cdot 16}{8}=20 \mathrm{~m}$.\\"
"1.26","Spațiul $\Delta S$ parcurs într-un interval $\Delta t=t_{2}-t_{1}$ este:\\ $\Delta S =v_{0} t_{2}-\frac{a}{2} t_{2}^{2}-\left[v_{0} t_{1}-\frac{a}{2} t_{1}^{2}\right]=v_{0}\left(t_{2}-t_{1}\right)-\frac{a}{2}\left(t_{2}^{2}-t_{1}^{2}\right)=\left(t_{2}-t_{1}\right)\left[v_{0}-\frac{a}{2}\left(t_{2}+t_{1}\right)\right]$\\ Aici $a=\mu g$. În cazul de față $t_{2}=5, t_{1}=4$.\\ Deci $5=20-\frac{\mu \cdot 10}{2} \cdot 9 \Rightarrow \mu=\frac{1}{3}$.\\"
"1.27","Teorema conservării impulsului: $m_{1} v_{1}+m_{2} v_{2}=\left(m_{1}+m_{2}\right) \cdot v\\ v=\frac{m_{1} v_{1}+m_{2} v_{2}}{\left(m_{1}+m_{2}\right)}=\frac{21 \cdot 10^{3} \cdot 6+49 \cdot 10^{3} \cdot 3}{(21+49) 10^{3}}=3,9 \mathrm{~m} / \mathrm{s}$.\\"
"1.28","Condiția pentru efectuarea buclei este ca în punctul cel mai de sus al buclei, forţa centrifugă să fie cel puțin egală cu greutatea:\\ $\frac{m v^{2}}{r} \geq m g \Rightarrow r_{\max }=\frac{v^{2}}{g}=\frac{10^{4}}{10}=10^{3} \mathrm{~m}$.\\"
"1.29","Forța centrifugă trebuie să fie cel mult egală cu greutatea:\\ $\frac{m v^{2}}{r} \leq m g \Rightarrow v_{\max }=\sqrt{r g}=15 \mathrm{~m} / \mathrm{s}$.\\"
